feedback_id,employee_id,department,category,feedback_text,source,submitted_at
FB-SYN-001,EMP-101,Engineering,WORKLOAD,"Workload has increased significantly with the recent project deadlines, and better task distribution would help prevent burnout.",SURVEY,2026-03-01T10:00:00Z
FB-SYN-002,EMP-102,Engineering,CULTURE,"The engineering team culture is collaborative and deeply supportive. Code reviews are thorough and educational.",SURVEY,2026-03-02T11:15:00Z
FB-SYN-003,EMP-103,Engineering,CAREER,"I feel there is a lack of clear progression tracks for senior individual contributors compared to management tracks.",HR_FORM,2026-03-03T14:30:00Z
FB-SYN-004,EMP-104,Engineering,MANAGEMENT,"My engineering manager provides regular, constructive 1-on-1 feedback and advocates for our tooling needs.",MANAGER_FEEDBACK,2026-03-04T09:00:00Z
FB-SYN-005,EMP-105,Engineering,WORKPLACE,"The hybrid policy is well-balanced, allowing focus time at home and meaningful collaboration on office days.",SURVEY,2026-03-05T16:20:00Z
FB-SYN-006,EMP-106,Engineering,BENEFITS,"The technical book and learning stipend has been fantastic for team upskilling on cloud architecture.",SURVEY,2026-03-06T12:00:00Z
FB-SYN-007,EMP-107,Engineering,WORKLOAD,"Constant on-call interruptions during sprint weeks are severely impacting sprint delivery and personal wellbeing.",SURVEY,2026-03-07T13:45:00Z
FB-SYN-008,EMP-108,Engineering,ENGAGEMENT,"I feel proud of the platform scalability milestones we accomplished this quarter. Great cross-functional teamwork.",SURVEY,2026-03-08T15:10:00Z
FB-SYN-009,EMP-109,Engineering,MANAGEMENT,"Leadership changes have caused some confusion regarding technical roadmaps and architectural priorities.",HR_FORM,2026-03-09T10:30:00Z
FB-SYN-010,EMP-110,Engineering,EXIT,"Leaving primarily due to compensation not aligning with current senior market rates in distributed systems.",EXIT_FEEDBACK,2026-03-10T17:00:00Z
FB-SYN-011,EMP-111,Sales,COMPENSATION,"The commission tier structure is transparent and motivates the sales team to hit quarterly targets consistently.",SURVEY,2026-03-11T09:30:00Z
FB-SYN-012,EMP-112,Sales,WORKLOAD,"Quarter-end quotas require working weekends and late evenings. A more predictable pacing throughout the quarter is needed.",SURVEY,2026-03-12T18:00:00Z
FB-SYN-013,EMP-113,Sales,MANAGEMENT,"Sales management is very approachable and actively helps unblock complex enterprise deals.",MANAGER_FEEDBACK,2026-03-13T11:00:00Z
FB-SYN-014,EMP-114,Sales,WORKPLACE,"Our CRM tools are frequently slow during peak hours, creating friction during customer demo follow-ups.",SURVEY,2026-03-14T14:15:00Z
